"統一編號","公司名稱","公司地址","公司狀態"
"11332202","東元電機股份有限公司","臺北市南港區三重路19-9號5樓","01"
"70774626","新世紀資通股份有限公司","臺北市內湖區港墘路220號10樓","01"
"28468548","台灣固網股份有限公司","臺北市大安區基隆路二段172-1號15樓","01"
"27989078","諧永投資股份有限公司","臺北市內湖區西康里內湖路1段66號8樓","01"
"27932239","華創車電技術中心股份有限公司","新北市新店區中興路3段3號2樓","01"
"12305479","興富發建設股份有限公司","臺北市中山區樂群二路267號10樓","01"
"11147207","中華開發資本股份有限公司","臺北市松山區敦化北路135號12及18樓","01"
"23986634","台朔重工股份有限公司","高雄市仁武區竹後里水管路100號","01"
"42856999","寶佳資產管理股份有限公司","臺北市內湖區行善路469號10樓","01"
"27463361","合陽管理顧問股份有限公司","新北市五股區成泰路1段2號9樓","01"
"80173221","凱擘股份有限公司","臺北市中山區八德路2段260號9樓","01"
"05151717","遠東建設事業股份有限公司","臺北市信義區基隆路一段200號24樓","01"
"75947936","燁輝企業股份有限公司","高雄市橋頭區芋寮路369號","01"
"86928561","安泰商業銀行股份有限公司","臺北市信義區西村里信義路五段7號16樓、40樓、41樓","01"
"12490306","佳世達科技股份有限公司","桃園市龜山區山鶯路157號","01"
"50864590","楷榮股份有限公司","臺北市松山區八德路四段85號3樓","01"
"96972798","好市多股份有限公司","高雄市前鎮區中華五路656號","01"
"05067562","道盈實業股份有限公司","臺北市中正區銅山街13號2樓","01"
"84149358","世界先進積體電路股份有限公司","新竹科學園區新竹縣園區三路123號","01"
"22099548","旺宏電子股份有限公司","新竹科學園區新竹市力行路16號","01"
"12100285","國際票券金融股份有限公司","臺北市中山區樂群三路128號8-10樓","01"
"05091774","世平興業股份有限公司","臺北市南港區經貿二路189號8樓","01"
"16093877","板信商業銀行股份有限公司","新北市板橋區縣民大道二段68號","01"
"22266828","遠鼎投資股份有限公司","臺北市大安區敦化南路二段207號34樓","01"
"79854797","高雄銀行股份有限公司","高雄市左營區博愛二路168號","01"
"68387705","奇美實業股份有限公司","臺南市仁德區中正路1段398號","01"
"23111915","凱基證券股份有限公司","臺北市中山區成功里明水路698號3樓、700號3樓","01"
"25133560","頂安開發股份有限公司","臺北市內湖區內湖路1段66號6樓","01"
"83167722","鴻華先進科技股份有限公司","新北市新店區寶高路26號7樓","01"
"11996904","聯華實業控股股份有限公司","臺北市南港區南港路一段209號10樓","01"
"90340178","台塑新智能科技股份有限公司","臺北市內湖區石潭里南京東路6段380號9樓","01"
"07066907","中國人造纖維股份有限公司","高雄市大社區經建路8號","01"
"14001199","福懋興業股份有限公司","雲林縣斗六市榴中里石榴路317號","01"
"27928328","大聯大控股股份有限公司","臺北市南港區經貿二路189號22樓","01"
"23060541","聯強國際股份有限公司","臺北市南港區市民大道八段205號27樓","01"
"23113343","永豐金證券股份有限公司","臺北市中正區重慶南路一段2號7樓、18樓及20樓","01"
"85066002","永豐餘投資控股股份有限公司","高雄市大樹區久堂里久堂路14號","01"
"68919301","臺南紡織股份有限公司","臺南市東區裕農路511號","01"
"23418577","百揚投資股份有限公司","新北市板橋區新站路16號18樓","01"
"16636534","寶鑫國際投資股份有限公司","新北市新店區復興里北新路三段207-1號15樓","01"
"27763753","聯合再生能源股份有限公司","新竹科學園區新竹市力行三路7號","01"
"22957301","富邦綜合證券股份有限公司","臺北市大安區仁愛路4段169號3、4樓","01"
"72058206","太子建設開發股份有限公司","臺南市東區中華東路1段398號8樓","01"
"97164611","鴻揚創業投資股份有限公司","新北市新店區復興里北新路三段207號15樓","01"
"07435515","新光合成纖維股份有限公司","臺北市大安區仁愛路3段136號5樓","01"
"23357868","元富證券股份有限公司","臺北市大安區復興南路1段209號1至3樓","01"
"84149961","聯發科技股份有限公司","新竹科學園區新竹市篤行一路1號","01"
"73252657","統一實業股份有限公司","臺南市永康區中正北路837號","01"
"42369695","彰芳風力發電股份有限公司","彰化縣彰化市中華西路369號10樓之1","01"
